id,city,lat,lng,country
1,Kavaratti,10.5626,72.6369,India
2,New Delhi,28.6,77.2,India
3,Tezpur,26.6338,92.8,India
4,Jullundur,31.3349,75.569,India
5,Navsari,20.8504,72.92,India
6,Asansol,23.6833,86.9833,India
7,Port Blair,11.667,92.736,India
8,Kota,25.18,75.835,India
9,Saharanpur,29.97,77.55,India
10,Bhuj,23.2504,69.81,India
11,Gurgaon,28.45,77.02,India
12,Simla,31.1,77.1666,India
13,Muzaffarpur,26.1204,85.3799,India
14,Gaya,24.8,85,India
15,Ratlam,23.3504,75.03,India
16,Gwalior,26.23,78.1801,India
17,Baramula,34.2004,74.35,India
18,Guwahati,26.16,91.77,India
19,Dispur,26.144,91.7666,India
20,Bidar,17.9229,77.5175,India
21,Pune,18.53,73.85,India
22,Ahmedabad,23.0301,72.58,India
23,Haldia,22.0257,88.0583,India
24,Bhagalpur,25.23,86.98,India
25,Ujjain,23.1904,75.79,India
26,Tonk,26.1505,75.79,India
27,Agartala,23.8354,91.28,India
28,Silchar,24.7904,92.79,India
29,Vellore,12.9204,79.15,India
30,Bharatpur,27.2504,77.5,India
31,Siliguri,26.7204,88.455,India
32,Gangtok,27.3333,88.6166,India
33,Cuttack,20.47,85.8899,India
34,Alipur Duar,26.4837,89.5667,India
35,Bhubaneshwar,20.2704,85.8274,India
36,Dibrugarh,27.4833,94.9,India
37,Jorhat,26.75,94.2167,India
38,Hospet,15.2804,76.375,India
39,Tuticorin,8.82,78.13,India
40,Sangli,16.8604,74.575,India
41,Sholapur,17.6704,75.9,India
42,Mumbai,19.017,72.857,India
43,Diu,20.7197,70.9904,India
44,Sirsa,29.4904,75.03,India
45,Mangalore,12.9,74.85,India
46,Thiruvananthapuram,8.5,76.95,India
47,Kochi,10.015,76.2239,India
48,Bangalore,12.97,77.56,India
49,Proddatur,14.7504,78.57,India
50,Tirupati,13.6504,79.42,India
51,Vadodara,22.31,73.18,India
52,Surat,21.2,72.84,India
53,Aizawl,23.7104,92.72,India
54,Bhopal,23.25,77.41,India
55,Hyderabad,17.4,78.48,India
56,Chandigarh,30.72,76.78,India
57,Gandhinagar,23.3004,72.6399,India
58,Imphal,24.8,93.95,India
59,Kohima,25.667,94.1166,India
60,Lucknow,26.855,80.915,India
61,Bijapur,16.8354,75.71,India
62,Chennai,13.09,80.28,India
63,Guntur,16.33,80.45,India
64,Rajahmundry,17.0303,81.79,India
65,Haora,22.5804,88.3299,India
66,Raurkela,22.2304,84.83,India
67,Dhanbad,23.8004,86.42,India
68,Bhatpara,22.8504,88.52,India
69,Kolkata,22.495,88.3247,India
70,Shillong,25.5705,91.88,India
71,Puri,19.8204,85.9,India
72,Krishnanagar,23.3803,88.53,India
73,Jamshedpur,22.7875,86.1975,India
74,Jodhpur,26.2918,73.0168,India
75,Sikar,27.6104,75.14,India
76,Barddhaman,23.2504,87.865,India
77,Medinipur,22.3304,87.15,India
78,Vishakhapatnam,17.73,83.305,India
79,Silvassa,20.2666,73.0166,India
80,Kolhapur,16.7,74.22,India
81,Latur,18.4004,76.57,India
82,Pondicherry,11.935,79.83,India
83,Brahmapur,19.32,84.8,India
84,Bhiwandi,19.35,73.13,India
85,Rajkot,22.31,70.8,India
86,Kalyan,19.2502,73.1602,India
87,Coimbatore,11,76.95,India
88,Nasik,20.0004,73.78,India
89,Porbandar,21.67,69.67,India
90,Parbhani,19.2704,76.76,India
91,Akola,20.71,77.01,India
92,Ahmednagar,19.1104,74.75,India
93,Aurangabad,19.8957,75.3203,India
94,Daman,20.417,72.85,India
95,Ranchi,23.37,85.33,India
96,Itanagar,27.1004,93.6166,India
97,Raipur,21.235,81.635,India
98,Kozhikode,11.2504,75.77,India
99,Machilipatnam,16.2004,81.18,India
101,Khammam,17.2804,80.1601,India
102,Kakinada,16.9675,82.2375,India
103,Panaji,15.492,73.818,India
104,Bhavnagar,21.7784,72.13,India
105,Karnal,29.6804,76.97,India
106,Rohtak,28.9,76.58,India
107,Hisar,29.17,75.725,India
108,Abohar,30.1204,74.29,India
109,Agra,27.1704,78.015,India
110,Alwar,27.5454,76.6049,India
111,Bhilwara,25.3504,74.635,India
112,Udaipur,24.6,73.73,India
113,Meerut,29.0004,77.7,India
114,Delhi,28.67,77.23,India
115,Rampur,28.8154,79.025,India
116,Ludhiana,30.9278,75.8723,India
117,Sonipat,29,77.02,India
118,Dehra Dun,30.3204,78.05,India
119,Ghaziabad,28.6604,77.4084,India
120,Faridabad,28.4333,77.3167,India
121,Amravati,20.95,77.77,India
122,Bhiwani,28.81,76.125,India
123,Gulbarga,17.35,76.82,India
124,Mathura,27.5,77.67,India
125,Hapur,28.7437,77.7628,India
126,Bhilai,21.2167,81.4333,India
127,Warangal,18.01,79.58,India
128,Raichur,16.2104,77.355,India
129,Firozabad,27.15,78.3949,India
130,Burhanpur,21.3004,76.13,India
131,Ambala,30.32,76.82,India
132,Varanasi,25.33,83,India
133,Hathras,27.6,78.05,India
134,Shahjahanpur,27.8804,79.905,India
135,Jabalpur,23.1751,79.9551,India
136,Patiala,30.3204,76.385,India
137,Nagpur,21.17,79.09,India
138,Bulandshahr,28.4104,77.8484,India
139,Nanded,19.17,77.3,India
140,Hoshiarpur,31.52,75.98,India
141,Aligarh,27.8922,78.0618,India
142,Mirzapur,25.1454,82.57,India
143,Bikaner,28.0304,73.3299,India
144,Srinagar,34.1,74.815,India
145,Jhansi,25.453,78.5575,India
146,Fatehpur,25.8804,80.8,India
147,Sagar,23.8504,78.75,India
148,Bahraich,27.6204,81.6699,India
149,Kanpur,26.46,80.32,India
150,Gorakhpur,26.7504,83.38,India
151,Jammu,32.7118,74.8467,India
152,Nizamabad,18.6704,78.1,India
153,Faizabad,26.7504,82.17,India
154,Sopore,34.3,74.4667,India
155,Allahabad,25.455,81.84,India
156,Sambalpur,21.4704,83.9701,India
157,Pathankot,32.2703,75.72,India
158,Bilaspur,22.0904,82.16,India
159,Indore,22.7151,75.865,India
160,Sitapur,27.63,80.75,India
161,Malegaon,20.5604,74.525,India
162,Dhule,20.9,74.77,India
163,Panipat,29.4004,76.97,India
164,Muzaffarnagar,29.485,77.695,India
165,Ongole,15.5604,80.05,India
166,Jaipur,26.9211,75.81,India
167,Moradabad,28.8418,78.7568,India
168,Pali,25.7904,73.3299,India
169,Vijayawada,16.52,80.63,India
170,Budaun,28.03,79.09,India
171,Bareilly,28.3454,79.42,India
172,Aurangabad,24.7704,84.38,India
173,Vizianagaram,18.1204,83.5,India
174,Chirala,15.8604,80.34,India
175,Ajmer,26.45,74.64,India
176,Pilibhit,28.64,79.81,India
177,Hindupur,13.7804,77.49,India
178,Mandya,12.5704,76.92,India
179,Karimnagar,18.4604,79.11,India
180,Tumkur,13.33,77.1,India
181,Mysore,12.31,76.66,India
182,Hubli,15.36,75.125,India
183,Shimoga,13.9304,75.56,India
184,Chandrapur,19.97,79.3,India
185,Bellary,15.15,76.915,India
186,Davangere,14.47,75.92,India
187,Amritsar,31.64,74.87,India
188,Belgaum,15.865,74.505,India
189,Etawah,26.7855,79.015,India
190,Patna,25.625,85.13,India
191,Purnia,25.7854,87.48,India
192,Bhusawal,21.02,75.83,India
193,Nandyal,15.5204,78.48,India
194,Kurnool,15.83,78.03,India
195,Kolar,13.1337,78.1334,India
196,Nellore,14.44,79.9899,India
197,Tiruvannamalai,12.2604,79.1,India
198,Kanchipuram,12.8337,79.7167,India
199,Valparai,10.3204,76.97,India
200,Tiruppur,11.0804,77.33,India
201,Alappuzha,9.5004,76.37,India
202,Kollam,8.9004,76.57,India
203,Karur,10.9504,78.0833,India
204,Kumbakonam,10.9805,79.4,India
205,Thanjavur,10.7704,79.15,India
206,Nagercoil,8.1804,77.43,India
207,Tirunelveli,8.7304,77.69,India
208,Rajapalaiyam,9.4204,77.58,India
209,Salem,11.67,78.1801,India
210,Tiruchirappalli,10.81,78.69,India
211,Madurai,9.92,78.12,India
212,Cuddalore,11.7204,79.77,India
213,Dindigul,10.38,78,India
